typ,ra,dec,mag,names
Gxy,186.327,-39.7603,10.9,NGC4373
Gxy,186.3255,4.92472,11.4,NGC4378
Gxy,186.32850000000002,64.9331,12.8,NGC4391
Gxy,186.342,10.0164,11.7,NGC4380
Gxy,186.351,18.1908,9.2,M85/NGC4382
Gxy,186.3555,16.4697,12.0,NGC4383
Gxy,186.3975,45.6842,12.1,NGC4389
Gxy,186.429,0.572222,12.0,NGC4385
Gxy,186.4245,12.8103,12.1,NGC4387
GC,186.43949999999998,-72.6592,7.2,NGC4372/C108
Gxy,186.4455,12.6619,11.3,NGC4388
Gxy,186.4605,10.4589,12.8,NGC4390
Gxy,186.46349999999998,27.5622,12.2,NGC4393
Gxy,186.45450000000002,33.5472,10.5,NGC4395
Gxy,186.45,27.55,13.0,IC3323
Gxy,186.4815,18.2139,10.9,NGC4394
Gxy,186.498,15.67,12.7,NGC4396
Gxy,186.531,13.1133,12.2,NGC4402
Gxy,186.52949999999998,16.1811,12.2,NGC4405
Gxy,186.549,12.9464,9.0,M86/NGC4406
Gxy,186.55349999999999,-7.68444,13.0,NGC4403
Gxy,186.6345,12.6108,11.9,NGC4407
Gxy,186.56699999999998,-7.68083,13.0,NGC4404
Gxy,186.6135,31.2233,10.7,NGC4414
Gxy,186.744,2.49417,12.0,NGC4409
Gxy,186.62550000000002,8.87222,12.9,NGC4411
Gxy,186.6345,12.6108,12.3,NGC4413
Gxy,186.651,3.96472,12.5,NGC4412
Gxy,186.66899999999998,8.43556,13.0,NGC4415
Gxy,186.6945,7.91889,12.4,NGC4416
Gxy,186.711,9.58417,11.2,NGC4417
Gxy,186.73499999999999,15.0472,11.4,NGC4419
Gxy,186.744,2.49417,12.1,NGC4420
Gxy,186.76049999999998,15.4614,11.8,NGC4421
Gxy,186.798,9.42,11.5,NGC4424
Gxy,186.8055,12.7344,11.8,NGC4425
Gxy,186.834,64.8014,12.2,NGC4441
Gxy,186.861,11.1072,10.2,NGC4429
Gxy,186.858,6.26222,12.0,NGC4430
Gxy,186.8685,-8.16778,12.8,NGC4428
Gxy,186.86399999999998,12.29,12.9,NGC4431
Gxy,186.90300000000002,8.15417,12.1,NGC4434
Gxy,186.91049999999998,-8.27944,12.3,NGC4433
Gxy,186.9045,-39.3379,12.0,IC3370
Gxy,186.9195,13.0789,10.8,The Eyes/NGC4435
Gxy,186.9405,13.0086,10.0,The Eyes/NGC4438
Gxy,186.9735,12.2931,12.1,NGC4440
Gxy,187.0155,9.80389,10.4,NGC4442
Gxy,187.0635,28.6206,11.2,NGC4448
Gxy,187.047,44.0933,9.8,NGC4449/C21
Gxy,187.0665,9.43639,13.0,NGC4445
OC,187.11,-60.1031,8.4,NGC4439
Gxy,187.1235,17.085,10.3,NGC4450
Gxy,187.1505,-43.2625,12.5,NGC4444
Gxy,187.1685,9.25917,12.8,NGC4451
Gxy,187.1805,11.755,12.3,NGC4452
Gxy,187.18349999999998,22.8222,12.4,NGC4455
Gxy,187.21200000000002,-1.93917,12.0,NGC4454
Gxy,187.1895,44.8642,11.4,NGC4460
Gxy,187.2465,3.57028,10.8,NGC4457
Gxy,187.2405,13.2417,12.1,NGC4458
Gxy,187.251,13.9781,10.4,NGC4459
Gxy,187.263,13.1836,11.1,NGC4461
Gxy,187.338,-23.1667,12.0,NGC4462
Gxy,187.3395,8.15611,12.8,NGC4464
Gxy,187.3785,14.0489,13.0,NGC4468
Gxy,187.3665,8.75028,11.4,NGC4469
Gxy,187.4085,7.82361,12.5,NGC4470
Gxy,187.4445,8.0,8.4,M49/NGC4472
Gxy,187.4535,13.4303,10.1,NGC4473
Gxy,187.473,14.0686,11.8,NGC4474
OC,187.4805,-64.7897,7.2,NGC4463
Gxy,187.497,12.3489,12.1,NGC4476
Gxy,187.50900000000001,13.6367,10.4,NGC4477
Gxy,187.5435,10.7794,12.8,NGC4482
Gxy,187.572,12.3286,11.3,NGC4478
Gxy,187.5765,13.5778,12.6,NGC4479
Gxy,187.61100000000002,4.24667,12.5,NGC4480
Gxy,187.63049999999998,41.7,12.1,NGC4485
Gxy,187.65,41.6425,9.8,NGC4490
Gxy,187.6695,9.01528,12.3,NGC4483
Gxy,187.7055,12.3906,8.8,M87/NGC4486
Gxy,187.7175,16.7586,12.1,NGC4489
Gxy,187.71300000000002,8.35972,12.0,NGC4488
Gxy,187.7415,11.4833,12.8,NGC4491
Gxy,187.749,8.0775,12.6,NGC4492
Gxy,187.7685,-8.05417,11.1,NGC4487
Gxy,187.851,25.7753,9.7,NGC4494
Gxy,187.842,57.9644,12.6,NGC4500
Gxy,187.8855,11.6244,12.6,NGC4497
Gxy,187.91549999999998,3.94083,11.2,NGC4496
Gxy,187.91549999999998,16.8531,12.2,NGC4498
Gxy,187.9965,14.4208,9.7,M88/NGC4501
Gxy,188.0265,11.1764,11.2,NGC4503
Gxy,188.0445,13.4194,12.9,NGC4506
Gxy,188.07150000000001,-7.56389,11.4,NGC4504
Gxy,187.91549999999998,3.94083,11.2,NGC4505
Gxy,188.19899999999998,63.9389,12.4,NGC4512
Gxy,188.19,0.113333,10.5,NGC4437
Gxy,188.19,0.113333,10.8,NGC4517
Gxy,188.19899999999998,63.9389,12.4,NGC4521
PN,188.22449999999998,82.55,12.0,IC3568
Gxy,188.271,16.2653,12.5,NGC4515
Gxy,188.2815,14.5747,13.0,NGC4516
Gxy,188.376,8.65472,11.7,NGC4519
Gxy,188.415,9.17361,12.3,NGC4522
Gxy,188.463,30.2775,12.4,NGC4525
Gxy,188.51250000000002,7.69944,9.5,NGC4526
Gxy,188.53500000000003,2.6525,10.8,NGC4527
Gxy,188.526,11.3211,12.2,NGC4528
Gxy,188.523,35.5181,12.4,NGC4534
Gxy,188.5665,13.075,11.6,NGC4531
Gxy,188.57999999999998,6.46861,11.7,NGC4532
Gxy,188.5845,8.19778,10.0,NGC4535
Gxy,188.613,2.18778,10.4,NGC4536
Gxy,188.646,18.2025,12.3,NGC4539
Gxy,188.643,63.525,12.5,NGC4545
Gxy,188.712,15.5511,12.0,NGC4540
Gxy,188.8635,14.4967,10.4,M91/NGC4548
Gxy,188.8725,-3.79389,10.5,NGC4546
Gxy,188.87699999999998,12.2206,11.6,NGC4550
Gxy,188.9025,-39.9092,12.2,NGC4507
Gxy,188.9085,12.2636,11.9,NGC4551
Gxy,188.916,12.5564,9.8,M89/NGC4552
Gxy,188.922,26.5228,12.2,NGC4555
Gxy,188.99099999999999,27.9597,9.8,NGC4559/C36
Gxy,189.033,-39.4403,12.4,NGC4553
Gxy,188.51250000000002,7.69944,9.6,NGC4560
Gxy,189.03449999999998,19.3219,12.6,NGC4561
Gxy,189.0255,19.3167,13.0,IC3569
Gxy,189.08700000000002,25.9886,9.5,NGC4565/C38
Gxy,189.1125,11.4392,11.2,NGC4564
Gxy,189.13649999999998,11.2578,11.5,Siamese Twins/NGC4567
Gxy,189.1425,11.2381,11.2,Siamese Twins/NGC4568
Gxy,189.2085,13.1625,9.6,M90/NGC4569
Gxy,189.222,7.24639,10.9,NGC4570
Gxy,189.2355,14.2172,11.5,NGC4571
Gxy,189.35399999999998,74.1917,10.9,NGC4589
Gxy,189.801,6.01194,13.0,NGC4577
Gxy,189.3765,9.55472,11.0,NGC4578
Gxy,189.432,-43.62,12.7,NGC4573
Gxy,189.4305,11.8181,10.1,M58/NGC4579
Gxy,189.4515,5.36806,11.9,NGC4580
Gxy,189.465,-40.5375,12.5,NGC4575
Gxy,189.522,1.4775,12.2,NGC4581
Gxy,189.618,4.31889,11.9,NGC4586
Gxy,189.801,6.01194,13.0,NGC4591
Gxy,189.828,-0.531667,11.7,NGC4592
GC,189.867,-26.7428,7.3,M68/NGC4590
Gxy,189.9135,-5.34417,11.1,NGC4593
Gxy,189.966,15.2975,12.3,NGC4595
Gxy,189.9825,10.1758,10.7,NGC4596
Gxy,189.9975,-11.6231,7.9,Sombrero galaxy/M104/NGC4594
Gxy,190.00050000000002,61.6078,10.4,NGC4605
Gxy,190.053,-5.8,12.2,NGC4597
Gxy,190.0485,8.38361,12.8,NGC4598
Gxy,190.0965,3.1175,12.8,NGC4600
Gxy,190.113,1.19639,12.8,NGC4599
Gxy,190.1535,-5.13194,11.7,NGC4602
Gxy,190.23000000000002,-40.9758,11.8,NGC4603
Gxy,190.239,11.9117,11.8,NGC4606
Gxy,190.30499999999998,10.1553,11.1,NGC4608
Gxy,187.4085,7.82361,12.2,NGC4610
Gxy,190.386,7.31444,11.7,NGC4612
Gxy,190.386,41.1506,10.9,NGC4618
Gxy,190.434,35.0625,12.9,NGC4619
Gxy,190.434,74.4211,11.6,NGC4648
Gxy,190.47,41.2739,12.5,NGC4625
Gxy,190.4745,41.2833,13.0,IC3675
Gxy,190.49699999999999,12.9428,12.3,NGC4620
Gxy,190.51049999999998,11.6467,9.8,M59/NGC4621
Gxy,190.49849999999998,32.5739,12.0,NGC4627
Gxy,190.533,32.5406,9.1,NGC4631/C32
Gxy,190.545,7.67694,12.4,NGC4623
OC,190.5825,-62.9939,6.9,NGC4609/C98
Gxy,191.2755,3.0575,10.3,NGC4624
Gxy,190.62900000000002,3.95833,12.8,NGC4630
Gxy,190.63649999999998,-0.0797222,11.9,NGC4632
Gxy,190.656,-40.7456,12.6,NGC4622
Gxy,190.662,19.9442,12.7,NGC4635
Gxy,190.671,14.2958,13.0,NGC4634
Gxy,190.70850000000002,2.68778,9.7,NGC4636
Gxy,190.698,11.4422,11.2,NGC4638
Gxy,190.7175,13.2569,11.5,NGC4639
Gxy,190.83300000000003,1.97833,10.8,NGC4643
Gxy,190.88400000000001,11.5819,11.6,NGC4647
Gxy,190.9155,11.5519,8.8,M60/NGC4649
Gxy,190.9275,16.3931,10.8,NGC4651
Gxy,190.96200000000002,-0.561111,12.2,NGC4653
Gxy,190.986,13.1256,10.7,NGC4654
Gxy,190.9935,32.1703,10.2,NGC4656
Gxy,191.0415,-41.7481,11.9,NGC4645
Gxy,191.034,32.2089,12.4,NGC4657
Gxy,191.082,-40.7319,12.0,NGC4650
Gxy,191.1225,13.4983,12.3,NGC4659
Gxy,191.133,11.1906,11.0,NGC4660
Gxy,191.157,-10.0839,12.1,NGC4658
Gxy,191.2755,3.0575,10.3,NGC4664
Gxy,191.2755,3.0575,10.7,NGC4665
Gxy,191.28300000000002,-0.462222,11.2,NGC4666
Gxy,190.698,11.4422,11.1,NGC4667
Gxy,191.32049999999998,27.125,12.1,NGC4670
Gxy,191.382,-0.535833,13.0,NGC4668
Gxy,191.394,27.0606,13.0,NGC4673
Gxy,191.44799999999998,-7.06917,13.0,NGC4671
Gxy,191.66549999999998,54.5339,13.0,NGC4686
Gxy,191.7285,-11.6361,12.8,NGC4680
Gxy,191.7375,-41.5831,12.8,NGC4677
Gxy,191.7975,19.4642,12.7,NGC4685
Gxy,191.814,-10.0631,12.4,NGC4682
Gxy,191.823,-2.72694,11.5,NGC4684
Gxy,191.87550000000002,-39.5708,12.7,NGC4679
Gxy,191.8695,-43.335,12.8,NGC4681
Gxy,191.9445,4.33556,12.1,NGC4688
Gxy,191.94,13.7622,11.0,NGC4689
Gxy,191.9805,-1.65639,13.0,NGC4690
Gxy,191.9805,27.2222,12.8,NGC4692
Gxy,192.054,-3.33361,10.9,NGC4691
Gxy,192.063,10.9836,11.2,NGC4694
Gxy,192.096,8.48778,10.9,NGC4698
Gxy,192.1485,-5.80083,9.2,NGC4697/C52
Gxy,192.20399999999998,-41.3114,10.5,NGC4696
Gxy,192.2595,-8.66444,10.2,NGC4699
Gxy,192.28199999999998,-11.4108,12.1,NGC4700
Gxy,192.29850000000002,3.38861,11.9,NGC4701
Gxy,192.354,-5.19611,12.8,NGC4705
Gxy,192.411,15.165,10.9,NGC4710
Gxy,192.3915,25.4697,12.5,NGC4712
Gxy,192.49050000000003,5.31056,11.6,NGC4713
Gxy,192.51600000000002,-41.3822,11.6,NGC4709
Gxy,192.5295,72.8742,11.4,NGC4750
Gxy,192.5805,-13.3258,12.7,NGC4714
Gxy,192.6105,25.5003,9.2,NGC4725
Gxy,192.723,-14.3322,12.7,NGC4724
Gxy,192.72150000000002,41.12,8.0,M94/NGC4736
Gxy,192.738,-14.3331,11.9,NGC4727
Gxy,192.7545,-6.39278,11.0,NGC4731
Gxy,192.7785,10.9119,12.3,NGC4733
Gxy,192.885,-13.3303,12.8,NGC4722
Gxy,192.738,-14.3331,11.9,NGC4740
Gxy,192.8745,-13.3167,13.0,IC3833
Gxy,192.9045,-8.41056,12.5,NGC4739
Gxy,192.9435,-41.1317,12.6,NGC4729
Gxy,192.9495,-10.4553,11.0,NGC4742
Gxy,192.93900000000002,25.775,12.3,NGC4747
Gxy,192.981,12.0828,12.1,NGC4746
Gxy,193.00199999999998,-41.1467,13.0,NGC4730
Gxy,193.0725,11.3136,10.3,NGC4754
Gxy,193.0815,-41.06,12.7,NGC4744
Gxy,193.09199999999998,-1.20444,10.5,NGC4753
Gxy,193.2135,-42.6597,12.1,NGC4751
Gxy,193.21949999999998,-15.4133,12.2,NGC4756
Gxy,193.23299999999998,11.2311,10.0,NGC4762
Gxy,193.272,-9.20167,13.0,NGC4759
Gxy,193.281,-10.4947,11.5,NGC4760
Gxy,193.31099999999998,4.46306,12.3,NGC4765
Gxy,193.36350000000002,-17.0056,12.6,NGC4763
Gxy,193.33800000000002,1.26944,12.3,NGC4771
Gxy,193.3845,-9.54167,12.9,NGC4770
Gxy,193.371,2.16833,11.7,NGC4772
Gxy,193.362,-48.7497,12.6,NGC4785
OC,193.404,-60.3561,4.2,kappa Cru cluster/NGC4755/C94
Gxy,193.44150000000002,-6.6225,11.2,NGC4775
Gxy,193.4625,9.70972,12.3,NGC4779
Gxy,193.4715,-39.7144,11.6,NGC4767
Gxy,193.269,-9.19889,13.0,NGC4776
Gxy,193.275,-9.20472,12.7,NGC4778
Gxy,193.578,27.0678,12.2,NGC4789
Gxy,193.5975,-10.5358,11.2,NGC4781
Gxy,193.63500000000002,-6.85861,11.6,NGC4786
Gxy,193.65,-12.5689,11.8,NGC4782
Gxy,193.6515,-12.5583,11.6,NGC4783
Gxy,193.6695,28.9381,11.8,NGC4793
Gxy,193.6575,46.5311,11.7,NGC4800
Gxy,193.716,-10.2478,12.3,NGC4790
Gxy,193.76250000000002,8.06556,12.4,NGC4795
Gxy,193.842,58.3439,11.6,NGC4814
Gxy,193.9575,-12.0553,11.6,NGC4802
Gxy,193.95450000000002,4.30417,11.9,NGC4808
Gxy,193.9575,-12.0553,11.6,NGC4804
Gxy,194.05349999999999,-29.5039,12.9,NGC4806
Gxy,194.1795,-50.3467,12.17,IC3896
Gxy,194.184,21.6828,8.4,M64/NGC4826
Gxy,194.18099999999998,27.1783,12.8,NGC4827
Gxy,194.2035,-8.52556,11.2,NGC4818
Gxy,194.30100000000002,-13.6653,11.8,NGC4825
Gxy,194.36700000000002,-19.6914,11.8,NGC4830
Gxy,194.35049999999998,27.4983,11.8,NGC4839
Gxy,194.40300000000002,-27.2917,12.5,NGC4831
Gxy,194.448,-39.7617,12.3,NGC4832
Gxy,194.484,-13.0597,13.0,NGC4838
OC,194.493,-64.9617,8.6,NGC4815
Gxy,194.505,1.57556,11.5,NGC4845
Gxy,194.532,-46.2647,11.9,NGC4835
Gxy,194.553,26.3969,13.0,NGC4849
Gxy,194.76,34.8639,12.1,NGC4861
Gxy,194.78699999999998,37.3103,12.4,NGC4868
Gxy,194.77499999999998,34.8667,13.0,IC3961
Gxy,194.826,-13.2311,12.9,NGC4855
Gxy,194.8395,-15.0422,10.7,NGC4856
Gxy,194.8635,14.1714,10.6,NGC4866
GC,194.895,-70.8744,8.4,NGC4833/C105
Gxy,194.898,27.9592,12.2,NGC4874
Gxy,195.03300000000002,27.9769,11.5,NGC4884
OC,195.06,-59.6161,8.9,NGC4852
Gxy,195.03300000000002,27.9769,11.5,NGC4889/C35
Gxy,195.0435,12.4833,11.5,NGC4880
Gxy,195.10950000000003,-15.2833,12.4,NGC4877
Gxy,195.162,2.49972,11.8,NGC4900
Gxy,195.1785,37.315,11.5,NGC4914
Gxy,195.1785,37.3152,12.51,NGC4912
Gxy,195.2205,-13.45,12.0,NGC4897
Gxy,195.2355,-13.9447,12.1,NGC4899
Gxy,195.2325,27.7911,13.0,NGC4911
Gxy,195.249,-14.5136,10.9,NGC4902
Gxy,195.246,-0.0291667,12.3,NGC4904
Gxy,194.505,1.57556,11.3,NGC4910
Gxy,195.3585,27.8856,12.3,NGC4921
Gxy,195.3675,-4.54667,11.9,NGC4915
Gxy,195.474,27.6244,13.0,NGC4926
Gxy,195.507,-42.7719,12.9,NGC4909
Gxy,195.55349999999999,-14.9703,12.8,NGC4924
Gxy,195.75150000000002,-8.08528,12.7,NGC4928
Gxy,195.95850000000002,28.1858,12.9,NGC4944
Gxy,195.987,-11.4978,12.1,NGC4933
Gxy,196.0185,-41.4114,11.8,NGC4930
Gxy,196.059,-10.3403,11.0,NGC4939
Gxy,196.0545,-5.55167,11.4,NGC4941
Gxy,196.071,-30.5267,10.9,NGC4936
Gxy,196.07999999999998,-7.65,13.0,NGC4942
Gxy,196.2435,29.1219,12.5,NGC4952
Gxy,196.2825,-6.49472,12.1,NGC4951
Gxy,196.25400000000002,35.1778,12.4,NGC4956
Gxy,196.3635,-49.4675,8.9,NGC4945/C83
Gxy,196.3725,-43.5911,12.4,NGC4946
Gxy,196.3365,-35.3375,12.0,NGC4947
Gxy,196.4535,-8.02083,10.7,NGC4958
Gxy,196.44750000000002,27.7336,12.8,NGC4961
Gxy,196.45649999999998,37.6049,12.34,IC4182
Gxy,196.2435,29.1219,12.6,NGC4962
Gxy,196.4745,37.6167,13.0,IC4190
Gxy,196.5195,-29.755,12.0,NGC4955
Gxy,196.7745,-23.6772,12.9,NGC4968
Gxy,196.78799999999998,-28.2286,12.3,NGC4965
Gxy,196.89149999999998,-24.0094,12.3,NGC4970
Gxy,197.15550000000002,-49.5058,10.2,NGC4976
Gxy,197.20350000000002,-6.77889,11.5,NGC4981
PN,197.20049999999998,-67.65,12.0,IC4191
Gxy,197.2395,-15.5169,10.9,NGC4984
Gxy,197.29199999999997,-28.6417,12.8,NGC4980
Gxy,197.3835,0.856944,12.8,NGC4996
Gxy,197.3895,1.67306,12.0,NGC4999
Gxy,197.448,-23.3842,12.4,NGC4993
Gxy,197.4195,-7.83306,11.3,NGC4995
Gxy,197.47650000000002,-43.1061,12.9,NGC4988
Gxy,197.448,-23.3842,12.4,NGC4994
Gxy,197.448,28.9061,13.0,NGC5000
Gxy,197.466,-16.5167,12.9,NGC4997
Gxy,197.736,37.0592,10.3,NGC5005/C29
Gxy,197.757,29.6364,13.0,NGC5004
Gxy,197.8815,36.2817,12.9,NGC5014
Gxy,197.904,22.9156,12.4,NGC5012
Gxy,197.94,-19.2614,12.5,NGC5006
Gxy,198.0285,24.095,13.0,NGC5016
Gxy,198.0495,44.0381,12.5,NGC5023
Gxy,198.0945,-4.33806,12.3,NGC5015
Gxy,198.1665,12.5994,11.9,NGC5020
Gxy,198.21599999999998,-43.0961,11.4,NGC5011
Gxy,198.2265,-16.7669,12.2,NGC5017
GC,198.22949999999997,18.1689,7.7,M53/NGC5024
Gxy,198.2535,-19.5183,10.7,NGC5018
Gxy,198.363,27.8025,12.8,NGC5032
Gxy,198.36599999999999,36.5944,10.1,NGC5033
Gxy,198.441,-13.0425,12.3,NGC5028
Gxy,198.4755,-16.4914,12.7,NGC5030
Gxy,198.555,-42.9617,11.7,NGC5026
Gxy,198.70499999999998,-16.4925,12.8,NGC5035
Gxy,198.747,-16.5911,12.5,NGC5037
Gxy,198.84900000000002,-16.3858,10.9,NGC5044
Gxy,198.8775,-23.9833,12.0,NGC5042
Gxy,198.95100000000002,-16.5194,12.6,NGC5047
Gxy,198.954,42.0306,9.0,Sunflower galaxy/M63/NGC5055
Gxy,198.996,-16.3978,13.0,NGC5049
Gxy,199.032,-28.4103,12.8,NGC5048
Gxy,199.05149999999998,30.95,13.0,NGC5056
GC,199.113,17.6978,9.0,NGC5053
Gxy,199.24349999999998,-16.6353,10.8,NGC5054
Gxy,199.428,-32.1017,12.27,IC4214
Gxy,199.521,-26.8378,10.5,NGC5061
Gxy,199.5975,-35.4592,12.3,NGC5062
Gxy,199.6065,-35.3533,12.6,NGC5063
Gxy,199.728,-21.0386,9.8,NGC5068
Gxy,199.75050000000002,-47.91,11.9,NGC5064
Gxy,199.8375,-14.8447,12.6,NGC5073
Gxy,199.881,-12.6564,11.3,NGC5077
Gxy,199.908,-12.6986,12.0,NGC5079
Gxy,199.9575,-27.41,10.8,NGC5078
Gxy,200.07,-21.8278,10.8,NGC5084
Gxy,200.073,-24.4406,11.5,NGC5085
Gxy,200.08350000000002,-12.5717,12.6,NGC5088
Gxy,200.10449999999997,-20.6111,11.2,NGC5087
Gxy,200.1255,43.0836,12.7,NGC5103
Gxy,200.166,-43.7006,12.9,NGC5082
Gxy,200.22,57.6422,12.9,NGC5109
Gxy,200.3025,-43.7053,11.6,NGC5090
Gxy,200.22,57.6422,12.9,NGC5113
Gxy,200.442,-27.4297,10.6,NGC5101
Gxy,200.454,-13.2067,12.1,NGC5105
Gxy,200.4855,38.7339,11.7,NGC5112
Gxy,200.49,-36.6303,9.1,NGC5102
Gxy,200.73149999999998,26.9808,12.9,NGC5116
Gxy,200.7255,70.5142,12.9,NGC5144
Gxy,200.793,43.0858,13.0,NGC5123
Gxy,200.93849999999998,31.5653,12.0,NGC5127
Gxy,201.0,-12.2767,13.0,NGC5119
Gxy,201.003,9.71,12.6,NGC5125
Gxy,201.006,-32.3444,12.6,NGC5114
Gxy,201.04199999999997,13.9764,12.1,NGC5129
Gxy,201.12,14.0922,13.0,NGC5132
Gxy,201.189,-37.6831,11.8,NGC5121
Gxy,201.2085,-30.3086,12.3,NGC5124
Gxy,201.21450000000002,36.3783,12.9,NGC5141
Gxy,201.309,43.2672,12.6,NGC5145
Gxy,201.327,-21.1344,11.6,NGC5134
Gxy,201.3705,-43.0167,6.8,NGC5128/C77
Gxy,201.4335,-29.8336,12.1,NGC5135
OC,201.4185,-63.4583,13.0,NGC5120
Gxy,201.59099999999998,-33.8689,11.9,NGC5140
Gxy,201.582,2.10056,12.1,NGC5147
Gxy,201.65699999999998,-12.3239,12.6,NGC5146
GC,201.6915,-47.4769,3.9,omega Cen/NGC5139/C80
OC,201.813,-59.0408,7.6,NGC5138
Gxy,201.9015,-29.5619,12.7,NGC5150
Gxy,201.945,17.7786,13.0,NGC5158
Gxy,201.9645,-29.6197,12.7,NGC5152
Gxy,201.9765,-29.6183,12.4,NGC5153
Gxy,202.10549999999998,46.5917,12.3,NGC5173
Gxy,202.18349999999998,-48.9172,12.0,NGC5156
Gxy,202.35750000000002,11.0078,11.6,NGC5162
Gxy,202.30949999999999,-33.1747,11.6,NGC5161
Gxy,202.329,17.0519,11.8,NGC5172
Gxy,202.35750000000002,11.0078,11.6,NGC5174
*,202.359,10.995,13.0,NGC5175
Gxy,202.40249999999997,58.4189,11.3,NGC5204
Gxy,202.4535,-17.9658,11.6,NGC5170
Gxy,202.46699999999998,47.1953,8.5,Whirlpool galaxy/M51/NGC5194
Gxy,202.515,62.5117,12.4,NGC5205
Gxy,202.49550000000002,47.2664,10.2,Whirlpool galaxy/NGC5195
Gxy,202.5255,-1.72111,12.9,NGC5183
Gxy,202.548,-1.66333,12.8,NGC5184
Gxy,202.5465,46.6708,11.9,NGC5198
Gxy,202.671,-28.1497,12.6,NGC5182
OC,202.78050000000002,-60.9392,9.1,NGC5168
Gxy,202.86599999999999,-34.7953,12.1,NGC5188
Gxy,202.9725,-33.235,11.7,NGC5193
Gxy,203.028,62.7003,12.7,NGC5216
Gxy,203.0565,-8.78667,12.6,NGC5203
Gxy,203.04299999999998,62.7675,12.5,NGC5218
Gxy,203.2725,-1.03611,12.5,NGC5211
PN,203.3865,-65.9739,10.0,NGC5189
Gxy,203.43300000000002,-48.1511,10.7,NGC5206
Gxy,203.52450000000002,17.8564,12.7,NGC5217
Gxy,203.883,13.6758,12.3,NGC5230
Gxy,203.9865,-33.4547,12.4,NGC5220
Gxy,204.03449999999998,-8.49778,13.0,NGC5232
Gxy,204.1095,7.36944,13.0,NGC5239
Gxy,204.1635,-33.9658,11.58,IC4296
Gxy,204.2505,-29.8678,7.8,M83/NGC5236
Gxy,204.38400000000001,8.88556,10.0,NGC5248/C45
Gxy,204.4125,-42.8481,12.8,NGC5237
Gxy,204.4065,15.9719,13.0,NGC5249
Gxy,204.513,-17.8842,10.4,NGC5247
Gxy,204.67499999999998,-45.8544,12.7,NGC5244
Gxy,204.67499999999998,-45.8544,12.8,NGC5219
Gxy,204.9075,-11.4942,12.4,NGC5254
Gxy,204.9825,-31.6419,10.7,NGC5253
Gxy,204.9705,0.84,12.9,NGC5257
Gxy,204.99,0.831111,12.9,NGC5258
Gxy,205.4025,-29.9122,12.2,NGC5264
Gxy,205.416,55.6706,12.9,NGC5278
Gxy,205.53449999999998,35.6542,11.5,NGC5273
GC,205.54649999999998,28.3756,6.3,M3/NGC5272
Gxy,205.758,-48.1697,11.2,NGC5266
Gxy,206.286,41.5033,12.9,NGC5289
Gxy,206.328,41.7131,12.3,NGC5290
GC,206.60999999999999,-51.3733,7.4,NGC5286/C84
Gxy,206.59799999999998,43.8717,11.8,NGC5297
Gxy,206.6025,46.1069,12.2,NGC5301
OC,206.64600000000002,-62.9164,5.9,NGC5281
Gxy,206.7525,60.9728,11.7,NGC5308
Gxy,206.9145,-30.9408,12.1,NGC5292
Gxy,206.937,38.3044,13.0,NGC5303
Gxy,207.066,3.95056,11.6,NGC5300
OC,207.1875,-64.6853,11.8,NGC5288
Gxy,207.207,-30.5111,12.3,NGC5302
Gxy,207.234,39.9856,12.5,NGC5311
Gxy,207.29700000000003,-7.22389,12.2,NGC5306
Gxy,207.2715,-30.2957,12.24,IC4329
Gxy,207.3135,60.1908,10.1,NGC5322
Gxy,207.4335,39.9844,12.2,NGC5313
Gxy,207.5055,-30.5794,12.7,NGC5304
Gxy,207.585,41.3664,12.3,NGC5320
Gxy,207.6495,33.7047,12.4,NGC5318
Gxy,207.711,39.5747,12.2,NGC5326
PN,207.7635,-51.2056,11.2,NGC5307
Gxy,209.049,5.01444,10.4,NGC5317
Gxy,208.0245,-6.05833,11.9,NGC5324
Gxy,208.01700000000002,-2.20639,12.8,NGC5327
Gxy,208.041,43.2425,13.0,NGC5336
Gxy,208.041,2.32472,12.4,NGC5329
Gxy,208.095,39.6872,12.5,NGC5337
Gxy,208.221,-28.4897,11.9,NGC5328
Gxy,208.227,-1.11444,11.5,NGC5334
Gxy,208.23450000000003,2.81389,13.0,NGC5335
Gxy,208.3245,33.4908,12.5,NGC5347
Gxy,208.33950000000002,40.3636,11.7,NGC5350
Gxy,208.3605,5.20722,12.5,NGC5338
Gxy,208.365,37.9142,12.2,NGC5351
Gxy,208.3605,40.2828,11.2,NGC5353
Gxy,208.3605,40.3025,11.6,NGC5354
Gxy,208.5015,-7.93083,12.1,NGC5339
PN,208.488,-66.5139,9.8,NGC5315
OC,208.488,-61.8692,6.0,NGC5316
Gxy,208.548,-7.58889,12.9,NGC5343
Gxy,208.5585,-1.43667,12.6,NGC5345
Gxy,208.6005,-48.5131,11.9,NGC5333
Gxy,208.6905,58.6667,13.0,NGC5372
Gxy,208.72199999999998,41.3128,12.5,NGC5362
Gxy,208.7445,5.33361,12.8,NGC5356
Gxy,208.8165,59.5064,12.3,NGC5376
Gxy,208.893,59.7428,13.0,NGC5379
Gxy,208.9155,40.4614,10.7,NGC5371
Gxy,208.998,-30.3417,12.2,NGC5357
Gxy,209.02949999999998,5.25528,10.8,NGC5363
Gxy,209.0265,59.7417,12.3,NGC5389
Gxy,209.049,5.01444,10.5,NGC5364
Gxy,209.0685,47.2353,11.5,NGC5377
